,cnt_programais,cmp_isemergency,opp_rating_Caliente,opp_rating_Frio,opp_rating_Templado,opp_stagename_Cobrada,opp_stagename_Puesta al cobro,opp_program_Conversion prospectos,opp_program_Cultivacion socios MASS,opp_program_Cultivacion socios MID,opp_program_Cultivacion/conversion Donantes MASS,opp_program_Cultivacion/conversion Donantes MID,opp_program_Major Donors,opp_program_Mid+ Donors,opp_program_Otros 121,opp_program_Otros 12Few+,opp_program_Otros programas transversales,opp_program_Potenciales a Major Donors,opp_program_Publicos Especiales,opp_program_Reactivacion bajas MASS,opp_program_Reactivacion bajas MID,opp_program_Reactivacion/conversion EXDonantes MASS,opp_program_Reactivacion/conversion EXDonantes MID,opp_program_Retencion 1r ano MID,opp_typefundraisingcontribution_A,opp_typefundraisingcontribution_S,cnt_program_Cultivacion socios MASS,cnt_program_Cultivacion socios MID,cnt_program_Cultivacion/conversion Donantes MASS,cnt_program_Cultivacion/conversion Donantes MID,cnt_program_Major Donors,cnt_program_Mid+ Donors,cnt_program_Otros 12Few+,cnt_program_Otros programas transversales,cnt_program_Potenciales a Major Donors,cnt_program_Publicos Especiales,cnt_program_Reactivacion bajas MID,cnt_program_Reactivacion/conversion EXDonantes MASS,cnt_program_Retencion 1r ano MID,cnt_membertype_Baja + Donante,cnt_membertype_Baja + Exdonante,cnt_membertype_Donante,cnt_membertype_Exdonante,cnt_membertype_Nada,cnt_membertype_Nada (Donante SMS),cnt_membertype_Socio + Donante,cnt_membertype_Socio + Exdonante,cmp_campaigndonationreporting_15-Television,cmp_campaigndonationreporting_16-Captacion off resto,cmp_campaigndonationreporting_21-Digital leads (email/tlmk),cmp_campaigndonationreporting_22-Digital Publi,cmp_campaigndonationreporting_23-Digital Organico,cmp_campaigndonationreporting_31-Telemarketing fide,cmp_campaigndonationreporting_32-Mailing fide,cmp_campaigndonationreporting_33-Emailing fide,cmp_campaigndonationreporting_34-Officers Mid plus,cmp_campaigndonationreporting_35-Tlmk Mid,cmp_campaigndonationreporting_41-Officers Grandes empresas,cmp_campaigndonationreporting_42-Officers Grandes donantes,cmp_campaigndonationreporting_52-Desconocido off,cmp_campaigndonationreporting_53-Resto,cmp_campaignentryreporting_18-Captacion off resto,cmp_campaignentryreporting_19-Desconocido off,cmp_campaignentryreporting_21-Digital leads (email/tlmk),cmp_campaignentryreporting_22-Digital publi,cmp_campaignentryreporting_23-Digital Organico,cmp_campaignentryreporting_31-Mailing revista memoria Fide,cmp_campaignentryreporting_32-Tlmk conversion,cmp_campaignentryreporting_33-Emailing fide,cmp_campaignentryreporting_36-Tlmk impagos,cmp_campaignentryreporting_41-Resto,cmp_isonline_No,cmp_isonline_Si,cmp_objective_Captacion de leads,cmp_objective_Captacion de socios o donantes,cmp_objective_Cultivacion,cmp_objective_Desconocido,cmp_objective_Recuperacion,cmp_objective_Upgrade,cmp_segment_Desconocido,cmp_segment_Frio individuos,cmp_segment_Mass donors,cmp_segment_Mid donors,cmp_segment_One to One,cmp_segment_Organizaciones,cmp_status_Completed,cmp_status_Created,cmp_status_In Progress,rcd_installmentperiod_Bimensual,rcd_installmentperiod_Monthly,rcd_installmentperiod_Quarterly,rcd_installmentperiod_Semestral,rcd_installmentperiod_Yearly,opp_type_Membership,opp_type_Recurrent Donation,cnt_id,cnt_programaherencias,cnt_programaherencias_pred,cnt_programaherencias_prob
511687,False,False,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0033Y00002upLigQAE,False,1.0,0.7774999999999999
648403,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002uoLgfQAE,False,1.0,0.6208637757606688
279277,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002upjsOQAQ,False,1.0,0.6208637757606688
545353,False,False,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0033Y00003e26PGQAY,False,1.0,0.8589871794871794
332711,False,False,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0033Y00003lJENmQAO,False,1.0,0.5089613095238095
504224,False,False,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002upalsQAA,False,1.0,0.9117663398692809
245210,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002upy0WQAQ,False,1.0,0.6208637757606688
200394,False,False,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0033Y00002uoy4yQAA,False,1.0,0.6160130147630147
494161,False,False,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0033Y00002uoW5aQAE,False,1.0,0.5565447330447332
45422,False,False,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002uNkMtQAK,False,1.0,0.6122692307692307
618141,False,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0033Y00002uov1iQAA,False,1.0,0.5061477411477411
232866,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002unFhXQAU,False,1.0,0.6208637757606688
164361,False,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0033Y00002uq1CCQAY,False,1.0,0.5180141028132514
51831,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002unfCGQAY,False,1.0,0.6208637757606688
85922,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0033Y00002uq0FIQAY,False,1.0,0.5591419275169276
330320,False,False,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0033Y00002uq1P0QAI,False,1.0,0.6056111111111112
389745,False,False,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0033Y00002uoJFWQA2,False,1.0,0.6306774891774891
589585,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0033Y00002uoC81QAE,False,1.0,0.5323321230294654
598060,False,False,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0033Y00002uNc1UQAS,False,1.0,0.7682189232336291
537521,False,False,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0033Y00002upgBvQAI,False,1.0,0.9420110503531557
